No,Category,Attribute,Current Value,File,Line,What to modify
1,SEO,Page title,Nhật Trường & Như Thuỷ,src/index.html,13,Couple names in browser/tab title
2,SEO,Meta description,We would like to invite you to our big day.,src/index.html,14,Invitation summary for search engines
3,Branding,Theme color,#ffffff,src/index.html,16,Browser UI color
4,SEO,OpenGraph title,Nhật Trường & Như Thuỷ,src/index.html,17,Social share title
5,SEO,OpenGraph URL,https://www.truongthuy-wedding.com,src/index.html,18,Live website URL
6,SEO,OpenGraph description,We would like to invite you to our big day.,src/index.html,19,Social share description
7,SEO,OpenGraph image,https://www.truongthuy-wedding.com/img/background.jpg,src/index.html,20,Social share preview image URL
8,Branding,Mask icon URL,https://github.githubassets.com/pinned-octocat.svg,src/index.html,25,Replace with your own mask icon
9,Branding,Fluid icon URL,https://github.com/fluidicon.png,src/index.html,26,Replace with your own branding icon
10,Branding,Top logo image,img/logo.png,src/index.html,79,Replace with your logo
11,Navigation,Menu label,Invitation,src/index.html,83,Translate or rename section label
12,Navigation,Menu label,Events,src/index.html,84,Translate or rename section label
13,Navigation,Menu label,Photos,src/index.html,85,Translate or rename section label
14,Navigation,Menu label,Maps,src/index.html,88,Translate or rename section label
15,Navigation,Menu CTA,Your wishes,src/index.html,89,Translate or rename button text
16,Branding,Hero logo image,img/logo-lg.png,src/index.html,104,Replace hero logo artwork
17,CTA,Hero button text,Gửi lời chúc,src/index.html,111,Main call-to-action text
18,Music,Autoplay bootstrap audio,musics/begin.mp3,src/index.html,73,Startup audio file
19,Intro,Date text (VI),Ngày 17 & 18 tháng 01, 2026.,src/index.html,131,Main displayed date
20,Intro,Date text (EN),January 17th & 18th 2026,src/index.html,134,English displayed date
21,Intro,Couple names display,Nhaät Tröôøng & Nhö Thuyû,src/index.html,142,Main couple names heading
22,Intro,Invitation paragraph,"Chào mọi người... Hẹn gặp mọi người ạ",src/index.html,149,Personal invitation message
23,Intro,Countdown labels,"Ngày, Giờ, Phút, Giây",src/index.html,160,Localize countdown unit labels
24,Photos,Profile image (groom),img/groom.png,src/index.html,147,Replace with groom image
25,Photos,Profile image (bride),img/bride.png,src/index.html,180,Replace with bride image
26,Events,Events section title,Sự Kiện (Events),src/index.html,195,Section heading text
27,Events,Event date block 1,"Thứ Bảy... Saturday, January 17th 2026",src/index.html,201,Event day/date text
28,Events,Event 1 name,Thánh Lễ Hôn Phối (Catholic Wedding Mass),src/index.html,203,Event title
29,Events,Event 1 time/location,"09:00 AM tại GX TÂN THÀNH",src/index.html,204,Time and venue summary
30,Events,Event 1 description (VI+EN),Paragraphs under event 1,src/index.html,206,Event description text
31,Events,Event 2 name,Vu Quy,src/index.html,220,Event title
32,Events,Event 2 time/location,"11:00 AM tại Sảnh Peridot...",src/index.html,221,Time and venue summary
33,Events,Event 2 description (VI+EN),Paragraphs under event 2,src/index.html,223,Event description text
34,Events,Event date block 2,"Chủ Nhật... Sunday, January 18th 2026",src/index.html,237,Event day/date text
35,Events,Event 3 name,Tân Hôn (Wedding),src/index.html,239,Event title
36,Events,Event 3 time/location,"11:00 AM tại tư gia",src/index.html,240,Time and venue summary
37,Events,Event 3 description (VI+EN),Paragraphs under event 3,src/index.html,241,Event description text
38,Gallery,Gallery title,Pre-Wedding Photos,src/index.html,263,Section heading text
39,Gallery,Album image list,img/album/thuy-truong_*.jpg,src/index.html,271,Replace all gallery photos (lines 271-355)
40,Maps,Maps section title,Bản đồ (Maps),src/index.html,387,Section heading text
41,Maps,Google embed URL (Thánh Lễ),iframe src for #map-canvas-tl,src/index.html,393,Embed map location
42,Maps,Google embed URL (Vu Quy),iframe src for #map-canvas-vq,src/index.html,392,Embed map location
43,Maps,Google embed URL (Tân Hôn),iframe src for #map-canvas-th,src/index.html,391,Embed map location
44,Maps,Open map link (Thánh Lễ),https://maps.app.goo.gl/zHsMZRJQFvn2fW1a6,src/index.html,406,Clickable external map link
45,Maps,Open map link (Vu Quy),https://maps.app.goo.gl/sGcPHmtcLrk4QMAK7,src/index.html,411,Clickable external map link
46,Maps,Open map link (Tân Hôn),https://maps.app.goo.gl/Y7mgfkDRg4G8Z7N89,src/index.html,416,Clickable external map link
47,Maps,Venue name/address block 1,"Nhà Thờ Giáo Xứ Tân Thành + address",src/index.html,407,Displayed venue name and address
48,Maps,Venue name/address block 2,"Sảnh Peridot... + address",src/index.html,412,Displayed venue name and address
